keel-pin: mask=0,8,16,24,32,40,48,56 width=8 doms=0,8,16,24,32,40,48,56 nodedoms=12
keel-bench-cpu: AMD EPYC 9R14
keel-bench-cores: 8 logical
keel-bench-governor: unknown (no cpufreq)
keel-bench-clock-mhz: 2600-3735 (snapshot, not sustained)
keel-bench-platform: linux/amd64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: avx512 (available: avx512 avx2 scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: avx512: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: avx2: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: scalar: unavailable (no cpuinfo_max_freq)
keel-bench-gomaxprocs: 8
keel-bench-kern: 4x32/avx512 (available: 4x32/avx512 2x32/avx512 4x32/scalar 2x32/scalar)
keel-bench-kern-class: fma insns-per-fma=6.250 (avx512 with vbmi2+vpopcntdq (Ice Lake / Zen 4 or later))
keel-bench-kern-audit: 4x32/avx512=6.250 2x32/avx512=4.625
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: amd64
pkg: github.com/scttfrdmn/keel/bench
cpu: AMD EPYC 9R14
BenchmarkKernel/2x32/scalar/kc=128-8         	  244702	      5241 ns/op	         3.126 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244479	      4896 ns/op	         3.346 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244545	      5299 ns/op	         3.092 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244034	      4932 ns/op	         3.322 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  243464	      6541 ns/op	         2.505 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  242814	      5013 ns/op	         3.269 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244016	      5243 ns/op	         3.125 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244935	      4897 ns/op	         3.346 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  245007	      5068 ns/op	         3.233 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  242871	      4920 ns/op	         3.330 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244442	      5011 ns/op	         3.270 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  243446	      5513 ns/op	         2.972 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244984	      4955 ns/op	         3.307 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  243648	      4955 ns/op	         3.307 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  245047	      5012 ns/op	         3.269 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  229546	      6651 ns/op	         2.464 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  245030	      7428 ns/op	         2.206 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244677	      5193 ns/op	         3.155 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244491	      4954 ns/op	         3.307 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  245106	      7460 ns/op	         2.196 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  155834	      7422 ns/op	         2.208 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  233172	      5231 ns/op	         3.132 GFLOP/s	     16384 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1759496	       682.1 ns/op	        72.06 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1757050	       683.0 ns/op	        71.96 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1756858	       683.4 ns/op	        71.93 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1758156	       683.1 ns/op	        71.95 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1757515	       683.4 ns/op	        71.92 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1755308	       683.1 ns/op	        71.96 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1754910	       684.2 ns/op	        71.83 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1757702	       683.4 ns/op	        71.92 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1756628	       683.5 ns/op	        71.91 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1759876	       684.0 ns/op	        71.86 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1759486	       682.8 ns/op	        71.98 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1754877	       683.8 ns/op	        71.88 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1755129	       684.1 ns/op	        71.85 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1752453	       684.3 ns/op	        71.83 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1755854	       684.4 ns/op	        71.82 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1753765	       683.6 ns/op	        71.91 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1754403	       684.4 ns/op	        71.82 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1752201	       682.8 ns/op	        71.98 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1754052	       682.5 ns/op	        72.02 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1754228	       683.4 ns/op	        71.92 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1753390	       683.8 ns/op	        71.88 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1757439	       684.3 ns/op	        71.83 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1756939	       683.0 ns/op	        71.97 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1755537	       683.9 ns/op	        71.87 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1757817	       683.2 ns/op	        71.95 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1753405	       684.2 ns/op	        71.84 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1760150	       683.7 ns/op	        71.89 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1754625	       689.2 ns/op	        71.32 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1741507	       689.3 ns/op	        71.30 GFLOP/s	     49152 flops/call
BenchmarkKernel/6x32/avx512/kc=128-8         	 1744960	       688.7 ns/op	        71.37 GFLOP/s	     49152 flops/call
BenchmarkPeak/avx512-8                       	    5565	    215491 ns/op	       116.8 GFLOP/s
BenchmarkPeak/avx512-8                       	    5566	    215415 ns/op	       116.8 GFLOP/s
BenchmarkPeak/avx512-8                       	    5571	    215062 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5570	    215142 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5522	    215092 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5574	    215038 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5558	    215080 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5576	    215055 ns/op	       117.0 GFLOP/s
