keel-pin: mask=0,8,16,24,32,40,48,56 width=8 doms=0,8,16,24,32,40,48,56 nodedoms=12
keel-bench-cpu: AMD EPYC 9R14
keel-bench-cores: 8 logical
keel-bench-governor: unknown (no cpufreq)
keel-bench-clock-mhz: 2600-3742 (snapshot, not sustained)
keel-bench-platform: linux/amd64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: avx512 (available: avx512 avx2 scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: avx512: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: avx2: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: scalar: unavailable (no cpuinfo_max_freq)
keel-bench-gomaxprocs: 8
keel-bench-kern: 4x32/avx512 (available: 4x32/avx512 2x32/avx512 4x32/scalar 2x32/scalar)
keel-bench-kern-class: fma insns-per-fma=6.250 (avx512 with vbmi2+vpopcntdq (Ice Lake / Zen 4 or later))
keel-bench-kern-audit: 4x32/avx512=6.250 2x32/avx512=4.625
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: amd64
pkg: github.com/scttfrdmn/keel/bench
cpu: AMD EPYC 9R14
BenchmarkPeak/avx512-8                       	    5574	    214955 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5526	    215102 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5574	    214948 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5575	    215021 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5576	    214941 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5578	    215119 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5580	    215081 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5581	    214900 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5576	    215261 ns/op	       116.9 GFLOP/s
BenchmarkPeak/avx512-8                       	    5562	    215052 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5572	    214947 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5576	    214980 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5562	    214946 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5574	    215015 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5572	    215034 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5581	    214961 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5581	    215122 ns/op	       117.0 GFLOP/s
BenchmarkPeak/avx512-8                       	    5569	    214983 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5571	    214913 ns/op	       117.1 GFLOP/s
BenchmarkPeak/avx512-8                       	    5554	    215445 ns/op	       116.8 GFLOP/s
