keel-bench-cpu: unknown (no model name in /proc/cpuinfo)
keel-bench-cores: 8 logical
keel-bench-governor: performance
keel-bench-clock-mhz: unknown (no cpu MHz field)
keel-bench-platform: linux/arm64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: scalar (available: scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: scalar: 5.6 GFLOP/s (2.81 GHz cpuinfo_max_freq x 2 FP ports, unfused: 1 flop/op x 1 lanes)
keel-bench-gomaxprocs: 1
keel-bench-kern: 8x8/neon (available: 8x8/neon 4x16/neon 8x8/scalar 4x16/scalar)
keel-bench-kern-class: fma insns-per-fma=0.000 (no vector backend in this build (class unused))
keel-bench-kern-audit: 
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: arm64
pkg: github.com/scttfrdmn/keel/bench
BenchmarkKernel/4x16/neon/kc=32       	 5895750	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5897301	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5893362	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5896635	       203.6 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5896287	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5896731	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5895540	       203.5 ns/op	        20.13 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5892230	       203.6 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5896093	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5895782	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5896485	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5895751	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539684	       779.2 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539712	       779.3 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539961	       779.3 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539926	       779.3 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1540221	       779.3 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539882	       779.3 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1540084	       779.3 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539918	       779.3 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539932	       779.3 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1540036	       779.2 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539962	       779.4 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539868	       779.3 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1540105	       779.2 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539864	       779.3 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539757	       779.2 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539700	       779.3 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539800	       779.3 ns/op	        21.02 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539987	       779.1 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539694	       779.2 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=128      	 1539606	       779.1 ns/op	        21.03 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391056	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391200	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391498	      3066 ns/op	        21.37 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391219	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391230	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391308	      3066 ns/op	        21.37 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391492	      3065 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  390441	      3065 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391429	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391268	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391321	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391512	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  389912	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391362	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391291	      3065 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391460	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  390771	      3065 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  389755	      3065 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391437	      3066 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/4x16/neon/kc=512      	  391178	      3065 ns/op	        21.38 GFLOP/s	     65536 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2090815	       574.1 ns/op	         1.784 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2092204	       574.2 ns/op	         1.783 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2091710	       574.3 ns/op	         1.783 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2087912	       575.4 ns/op	         1.780 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2086866	       575.1 ns/op	         1.781 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2087766	       575.5 ns/op	         1.779 GFLOP/s	      1024 flops/call
BenchmarkKernel/8x8/scalar/kc=8       	 2085622	       575.8 ns/op	         1.778 GFLOP/s	      1024 flops/call
